date,gold_price,gold_price_mom,gold_price_yoy,gold_volatility_1m,gold_volatility_3m,gold_price_30d_avg,gold_price_90d_avg,gold_price_180d_avg,gold_trend
1992-05-29,10723.10215,2.83506407054952,9.962328268126177,1193.663223703902,1789.1651560806638,8943.177919666667,6816.052562000001,5690.581896166667,4485.569818166668
1992-06-30,11511.321000000002,7.350660648140894,19.88544519979729,1217.8527568910488,1829.2796594672168,9097.042485333332,6900.585659111112,5690.581896166667,4485.569818166668
1992-07-31,11683.974730000002,1.499860267991826,20.64610662844504,1229.4616979107818,1868.8622244685937,9258.452678,6987.389675555555,5690.581896166667,4485.569818166668
1992-08-31,12303.69101,5.303985110553211,22.405889135809744,1276.124802842351,1927.6004825748769,9434.171496666668,7077.270158,5690.581896166667,4485.569818166668
1992-09-30,11904.91386,-3.2411180488512548,22.571698955065656,1256.6916548931763,1968.6201916502591,9602.682455333335,7163.14864688889,5690.581896166667,4485.569818166668
1992-10-30,11171.87906,-6.157413725293425,14.132369503030784,1187.968754058996,1987.9676140744657,9741.625804,7240.498040444445,5690.581896166667,4485.569818166668
1992-11-30,11435.785210000002,2.362236008666563,16.972018449198643,1120.9998100777225,2009.8096017327723,9884.641406,7320.900352333335,5690.581896166667,4485.569818166668
1992-12-31,11724.58306,2.5253871482953327,23.365680000394786,1060.1423149175205,2035.813959205556,10031.526881000002,7403.912641666668,5690.581896166667,4485.569818166668
1993-01-29,12038.12274,2.6742075039724256,24.682665267075365,1026.4294853162328,2066.325206410029,10176.151714333337,7489.956075777778,5690.581896166667,4485.569818166668
1993-02-26,12135.50795,0.8089733931388787,27.713834728395724,1074.411852225644,2096.077181144324,10268.538034333336,7576.50750088889,5747.707790333334,4520.830244000001
1993-03-31,11979.918860000002,-1.2820978787294934,21.5983470421816,1098.5234004060717,2124.1396950305016,10361.346114666669,7657.370339222222,5803.094279,4558.251835666667
1993-04-30,12051.71272,0.5992850272109385,15.57650317833228,1109.0943896816752,2158.423338098872,10463.261770666668,7732.796018111111,5859.0764465,4604.185324166668
1993-05-31,11834.385,-1.8032932334948737,10.363445525882645,1112.0213971181029,2187.04632404183,10549.366930333335,7803.943163222223,5913.928922944445,4635.438007388891
1993-06-30,11964.96043,1.103356279181389,3.940811224011554,1114.985361408882,2212.48890936087,10638.383266333334,7879.239296444444,5968.626241000001,4669.757025333333
